BASE_DATE,IR_CURVE_ID,MAT_CD,INT_RATE
20151223,A100,M0024,0.0166
20151223,A100,M0030,0.0167
20151223,A100,M0036,0.0166
20151223,A100,M0048,0.0178
20151223,A100,M0060,0.0187
20151223,A100,M0084,0.0202
20151223,A100,M0120,0.0212
20151223,A100,M0240,0.0222
20151216,E110,M0003,0.0165
20151216,E110,M0006,0.0168
20151216,E110,M0009,0.0173
20151216,E110,M0012,0.0173
20151216,E110,M0018,0.0179
20151216,E110,M0024,0.0183
20151216,E110,M0030,0.0183
20151216,E110,M0036,0.0187
20151216,E110,M0048,0.0197
20151216,E110,M0060,0.0212
20151216,E110,M0084,0.0221
20151216,E110,M0120,0.0236
20151216,E110,M0240,0.0248
20151223,E110,M0003,0.0164
20151223,E110,M0006,0.0167
20151223,E110,M0009,0.017
20151223,E110,M0012,0.0171
20151223,E110,M0018,0.0175
20151223,E110,M0024,0.0178
20151223,E110,M0030,0.0179
20151223,E110,M0036,0.0181
20151223,E110,M0048,0.0187
20151223,E110,M0060,0.0201
20151223,E110,M0084,0.0213
20151223,E110,M0120,0.0226
20151223,E110,M0240,0.0239
20170822,A100,M0003,0.0124
20170822,A100,M0006,0.0132
20170822,A100,M0009,0.0144
20170822,A100,M0012,0.015
20170822,A100,M0018,0.0166
20170822,A100,M0024,0.0174
20170822,A100,M0030,0.018
20170822,A100,M0036,0.0184
20170822,A100,M0048,0.0196
20170822,A100,M0060,0.0206
20170822,A100,M0084,0.022
20170822,A100,M0120,0.0232
20170822,A100,M0240,0.0237
20170822,E110,M0003,0.013
20170822,E110,M0006,0.0139
20170822,E110,M0009,0.0153
20170822,E110,M0012,0.0161
20170822,E110,M0018,0.0173
20170822,E110,M0024,0.0183
20170822,E110,M0030,0.0187
20170822,E110,M0036,0.0196
20170822,E110,M0048,0.0205
20170822,E110,M0060,0.0221
20170822,E110,M0084,0.0232
20170822,E110,M0120,0.0245
20170822,E110,M0240,0.0253
20170824,E110,M0003,0.013
20170824,E110,M0006,0.0139
20170824,E110,M0009,0.0153
20170824,E110,M0012,0.0161
20170824,E110,M0018,0.0172
20170824,E110,M0024,0.0183
20170824,E110,M0030,0.0187
20170824,E110,M0036,0.0196
20170824,E110,M0048,0.0205
20170824,E110,M0060,0.022
20170824,E110,M0084,0.0231
20170824,E110,M0120,0.0244
20170824,E110,M0240,0.0255
20170828,A100,M0003,0.0124
20170828,A100,M0006,0.0131
20170828,A100,M0009,0.0143
20170828,A100,M0012,0.0149
